date,tokyo_temp_mean,tokyo_temp_max,tokyo_temp_min,tokyo_hum,tokyo_press,tokyo_precip,tokyo_sun,kofu_temp_mean,kofu_temp_max,kofu_temp_min,kofu_hum,kofu_press,kofu_precip,kofu_sun
2025-02-17,9.308333333333334,14.3,3.9,49.875,1004.9,0.0,0.0,6.904166666666666,13.7,2.6,48.916666666666664,1005.7708333333334,0.0,0.0
2025-02-18,4.966666666666667,8.5,2.4,32.25,1010.5,0.0,0.0,3.7458333333333336,8.9,-0.1,26.458333333333332,1010.5,0.0,0.0
2025-02-19,3.9416666666666664,8.1,0.6,35.916666666666664,1013.775,0.0,0.0,2.3666666666666667,6.4,-0.8,28.25,1014.5999999999999,0.0,0.0
2025-02-20,4.504166666666667,9.7,-0.9,32.416666666666664,1019.0083333333332,0.0,0.0,2.3874999999999997,8.5,-4.1,31.041666666666668,1019.5291666666667,0.0,0.0
2025-02-21,5.416666666666667,10.0,1.3,30.5,1020.7041666666668,0.0,0.0,2.654166666666667,9.2,-3.7,36.0,1020.8916666666668,0.0,0.0
2025-02-22,4.391666666666667,8.3,1.7,36.458333333333336,1019.9,0.0,0.0,1.7708333333333333,6.8,-3.6,39.375,1020.4916666666668,0.0,0.0
2025-02-23,5.1499999999999995,10.2,0.5,30.541666666666668,1020.525,0.0,0.0,2.15,8.8,-4.8,35.625,1021.0124999999999,0.0,0.0
2025-02-24,4.754166666666666,9.6,0.3,38.875,1018.3000000000001,0.0,0.0,2.7624999999999997,8.3,-3.3,41.041666666666664,1018.6875,0.0,0.0
2025-02-25,7.1375,11.8,1.4,44.583333333333336,1022.9874999999998,0.0,0.0,4.070833333333334,12.1,-3.0,44.333333333333336,1024.2208333333335,0.0,0.0
2025-02-26,10.424999999999999,16.9,4.7,35.75,1015.3041666666667,0.0,0.0,6.370833333333334,14.3,-1.4,44.541666666666664,1016.7958333333332,0.0,0.0
2025-02-27,10.225,15.3,4.8,42.125,1019.775,0.0,0.0,7.445833333333333,16.2,-0.7,39.25,1019.9875000000002,0.0,0.0
2025-02-28,11.004166666666668,16.1,6.3,52.416666666666664,1019.5875,0.0,0.0,8.875,16.9,0.3,50.583333333333336,1019.5791666666668,0.0,0.0
2025-03-01,13.283333333333333,19.2,7.3,58.0,1019.1458333333334,0.0,0.0,10.783333333333333,20.2,2.3,56.75,1019.5458333333335,0.0,0.0
2025-03-02,14.608333333333334,20.5,8.2,57.25,1014.0083333333332,0.0,0.0,12.016666666666666,19.5,4.8,62.541666666666664,1014.1291666666667,0.0,0.0
2025-03-03,5.916666666666667,13.9,1.8,89.33333333333333,1017.1958333333332,30.0,0.0,7.4750000000000005,13.1,3.9,84.29166666666667,1015.0541666666667,34.0,0.0
2025-03-04,2.3625000000000003,4.8,0.5,77.70833333333333,1026.4624999999999,10.0,1.0,2.9916666666666667,5.6,0.7,78.20833333333333,1024.7458333333334,6.5,0.0
2025-03-05,5.266666666666667,8.3,1.1,98.625,1015.5541666666668,16.5,0.0,4.962500000000001,8.4,0.8,92.33333333333333,1016.2875,5.0,0.0
2025-03-06,9.0625,11.4,6.7,57.708333333333336,1011.3291666666668,0.0,0.0,8.125,12.0,4.2,62.625,1011.3250000000002,0.0,0.0
2025-03-07,6.925,11.0,3.5,39.416666666666664,1020.3000000000001,0.0,0.0,5.816666666666667,10.9,2.2,40.208333333333336,1020.3583333333332,0.0,0.0
2025-03-08,3.2166666666666663,5.8,0.5,66.20833333333333,1027.7916666666667,9.5,0.0,4.054166666666667,6.0,1.3,65.45833333333333,1026.1833333333334,0.0,0.0
2025-03-09,6.920833333333333,12.7,1.7,65.70833333333333,1026.1291666666666,0.0,0.0,7.724999999999999,13.5,3.0,51.75,1024.9083333333335,0.0,0.0
2025-03-10,9.120833333333334,14.0,3.3,45.416666666666664,1029.4875,0.0,0.0,7.904166666666666,16.1,-0.4,52.75,1028.8666666666668,0.0,0.0
2025-03-11,10.295833333333334,13.4,6.8,72.125,1024.575,0.5,0.0,8.954166666666667,11.3,7.0,78.5,1024.4083333333333,0.5,0.0
2025-03-12,11.625,14.5,8.9,96.625,1017.7708333333334,15.5,0.0,10.495833333333332,13.7,8.0,88.41666666666667,1018.2458333333334,1.5,0.0
2025-03-13,14.454166666666666,19.4,9.2,69.375,1013.0791666666665,0.0,0.0,13.75,20.6,9.6,67.91666666666667,1012.7666666666668,0.0,0.0
2025-03-14,12.799999999999999,18.2,8.8,32.875,1021.1541666666667,0.0,0.0,11.054166666666667,19.9,5.1,58.375,1021.0041666666666,0.0,0.0
2025-03-15,8.8875,11.0,6.7,49.541666666666664,1025.2583333333334,0.0,0.0,6.2625,8.7,4.8,73.95833333333333,1025.0166666666667,4.5,0.0
2025-03-16,6.3500000000000005,7.8,4.9,95.91666666666667,1007.6416666666668,29.0,0.0,5.5625,6.8,3.5,94.45833333333333,1008.3416666666666,13.0,0.0
2025-03-17,10.025,15.5,6.8,63.416666666666664,1000.5458333333332,0.0,0.0,8.716666666666667,13.9,3.6,58.625,1001.4874999999998,0.5,0.0
2025-03-18,8.625,12.3,4.9,50.791666666666664,1012.9291666666667,0.0,0.0,6.679166666666667,12.5,-0.1,53.083333333333336,1012.0791666666665,0.0,0.0
2025-03-19,5.608333333333333,9.8,0.7,81.04166666666667,1009.7624999999999,26.5,1.0,4.75,9.9,0.5,68.875,1010.6333333333332,14.0,1.0
2025-03-20,8.341666666666667,13.2,4.4,55.0,1017.6041666666666,0.0,0.0,6.125,12.7,-0.6,60.041666666666664,1017.35,0.0,0.0
2025-03-21,11.216666666666667,17.3,4.3,62.125,1011.9249999999998,0.0,0.0,9.637500000000001,18.9,1.0,49.958333333333336,1012.4083333333334,0.0,0.0
2025-03-22,15.775,23.1,7.0,48.583333333333336,1005.8249999999999,0.0,0.0,12.700000000000001,22.9,3.1,44.25,1007.375,0.0,0.0
2025-03-23,17.34166666666667,25.0,12.3,48.458333333333336,1006.9583333333334,0.0,0.0,15.666666666666666,25.5,6.3,41.541666666666664,1006.8250000000002,0.0,0.0
2025-03-24,14.787500000000001,18.6,10.1,74.75,1010.0625,0.0,0.0,13.049999999999999,19.5,7.9,63.541666666666664,1009.8583333333332,0.5,0.0
2025-03-25,17.77916666666667,24.1,10.6,61.416666666666664,1003.1958333333333,0.0,0.0,15.241666666666667,23.4,6.9,63.083333333333336,1004.1166666666667,0.0,0.0
2025-03-26,20.391666666666666,25.6,15.3,44.708333333333336,1003.5833333333334,0.0,0.0,19.170833333333334,25.5,11.3,28.375,1003.1416666666668,0.0,0.0
2025-03-27,17.920833333333334,21.5,12.6,69.45833333333333,1008.2458333333334,0.0,0.0,17.6875,25.9,8.3,47.958333333333336,1007.1791666666668,0.0,0.0
2025-03-28,19.945833333333336,24.9,14.1,78.54166666666667,999.6625,2.5,0.0,20.254166666666666,26.2,13.1,65.66666666666667,998.3916666666668,1.0,0.0
2025-03-29,7.55,13.4,4.6,90.41666666666667,1015.9916666666667,12.5,0.0,7.391666666666666,12.8,4.7,83.45833333333333,1014.3166666666666,14.5,0.0
2025-03-30,9.366666666666667,14.5,5.3,62.708333333333336,1019.6333333333332,0.5,0.0,8.408333333333333,14.9,4.1,61.375,1018.3583333333332,0.0,0.0
