tokyo_temp_mean,tokyo_temp_max,tokyo_temp_min,tokyo_hum,tokyo_press,tokyo_precip,tokyo_sun,kofu_temp_mean,kofu_temp_max,kofu_temp_min,kofu_hum,kofu_press,kofu_precip,kofu_sun,date
8.679166666666667,12.2,6.4,53.5,1015.2333333333332,0.0,0.0,6.041666666666667,10.0,2.3,59.5,1015.4833333333332,0.0,0.0,2023-12-01
8.254166666666668,12.6,4.6,59.791666666666664,1018.5458333333332,0.0,0.0,5.520833333333333,13.4,-0.5,62.833333333333336,1018.9041666666667,0.0,0.0,2023-12-02
9.075000000000001,14.7,4.5,57.75,1018.4708333333333,0.0,0.0,6.5625,12.9,0.8,56.75,1019.6416666666668,0.0,0.0,2023-12-03
8.7375,13.4,5.2,53.333333333333336,1021.1541666666667,0.0,0.0,5.333333333333333,12.1,-0.5,59.583333333333336,1022.525,0.0,0.0,2023-12-04
8.0625,9.8,6.0,63.583333333333336,1019.3416666666667,0.0,0.0,4.254166666666666,6.6,1.1,72.20833333333333,1021.0333333333333,0.0,0.0,2023-12-05
11.404166666666667,15.9,7.5,77.25,1011.7624999999998,1.0,0.0,8.112499999999999,15.6,1.7,64.04166666666667,1012.6333333333336,0.0,0.0,2023-12-06
12.916666666666666,19.5,7.2,60.458333333333336,1006.9458333333333,0.0,0.0,9.041666666666666,17.8,2.3,55.0,1008.6166666666664,0.0,0.0,2023-12-07
12.3375,17.1,6.2,49.291666666666664,1019.2125,0.0,0.0,7.133333333333333,14.2,1.2,54.666666666666664,1020.8333333333334,0.0,0.0,2023-12-08
11.933333333333332,16.9,6.7,65.625,1019.8958333333334,0.0,0.0,7.241666666666667,15.0,0.4,66.33333333333333,1022.1666666666666,0.0,0.0,2023-12-09
12.983333333333334,19.2,7.7,64.5,1021.4250000000001,0.0,0.0,8.204166666666667,16.3,1.8,62.166666666666664,1022.9291666666667,0.0,0.0,2023-12-10
13.445833333333333,15.4,11.3,73.5,1022.5124999999999,0.5,0.0,8.958333333333334,14.7,3.3,69.16666666666667,1022.9875000000001,0.5,0.0,2023-12-11
11.9,14.9,9.9,91.70833333333333,1010.4666666666668,15.5,0.0,12.020833333333334,16.7,8.8,78.5,1010.2166666666666,15.0,0.0,2023-12-12
10.799999999999999,14.6,7.4,51.791666666666664,1024.1416666666667,0.0,0.0,9.058333333333334,14.3,4.4,60.666666666666664,1024.7708333333333,0.0,0.0,2023-12-13
10.208333333333334,13.6,6.8,61.708333333333336,1027.2375,0.0,0.0,7.795833333333334,14.3,1.9,71.75,1027.8125,0.0,0.0,2023-12-14
10.987499999999999,19.9,7.3,81.66666666666667,1014.7833333333334,1.0,0.0,8.987499999999999,11.9,6.2,88.83333333333333,1015.9666666666666,0.5,0.0,2023-12-15
17.025000000000002,20.7,11.2,71.29166666666667,1004.1833333333334,0.0,0.0,13.091666666666667,19.1,8.5,87.375,1006.0791666666668,0.5,0.0,2023-12-16
11.229166666666666,16.7,6.1,36.333333333333336,1010.4458333333332,0.0,0.0,8.4125,13.9,4.4,30.833333333333332,1011.5333333333333,0.0,0.0,2023-12-17
7.004166666666666,11.1,4.0,36.166666666666664,1023.5333333333333,0.0,0.0,3.4958333333333336,8.8,-0.8,46.125,1024.0916666666667,0.0,0.0,2023-12-18
6.95,9.5,3.8,53.458333333333336,1023.2291666666666,0.0,0.0,5.325,8.8,1.5,58.583333333333336,1023.0166666666668,0.0,0.0,2023-12-19
8.512500000000001,12.4,4.7,58.625,1011.6125000000001,0.0,0.0,6.625,12.9,1.8,59.083333333333336,1012.2375000000001,0.0,0.0,2023-12-20
7.716666666666666,12.2,3.9,41.375,1011.2791666666667,0.0,0.0,4.104166666666666,10.0,-0.8,44.375,1012.5541666666667,0.0,0.0,2023-12-21
5.308333333333334,9.8,2.1,37.875,1018.0125000000002,0.0,0.0,1.5208333333333333,7.8,-3.8,44.625,1019.4416666666666,0.0,0.0,2023-12-22
4.995833333333334,9.5,0.7,46.666666666666664,1026.8833333333334,0.0,0.0,1.8374999999999997,8.7,-4.1,50.208333333333336,1027.7791666666667,0.0,0.0,2023-12-23
4.858333333333333,8.4,2.5,54.708333333333336,1026.9541666666667,0.0,0.0,2.7874999999999996,9.9,-2.1,60.5,1027.4958333333334,0.0,0.0,2023-12-24
6.2749999999999995,11.3,1.4,56.25,1021.2208333333333,0.0,0.0,3.5041666666666664,10.6,-2.7,60.208333333333336,1022.2125000000001,0.0,0.0,2023-12-25
7.629166666666666,12.8,3.5,58.041666666666664,1022.1708333333332,0.0,0.0,3.2458333333333336,10.7,-2.6,60.791666666666664,1023.8166666666666,0.0,0.0,2023-12-26
8.424999999999999,12.1,4.9,49.833333333333336,1025.5166666666667,0.0,0.0,4.191666666666666,10.7,-2.0,64.5,1026.4166666666667,0.0,0.0,2023-12-27
7.041666666666667,10.1,4.4,55.708333333333336,1025.5583333333334,0.0,0.0,6.066666666666667,11.6,2.8,63.166666666666664,1025.2124999999999,0.0,0.0,2023-12-28
