date,tokyo_temp_mean,tokyo_temp_max,tokyo_temp_min,tokyo_hum,tokyo_press,tokyo_precip,tokyo_sun,tokyo_dewpoint,tokyo_theta_e,tokyo_vpd,tokyo_wind_u,tokyo_wind_v,kofu_temp_mean,kofu_temp_max,kofu_temp_min,kofu_hum,kofu_press,kofu_precip,kofu_sun,kofu_dewpoint,kofu_theta_e,kofu_vpd,kofu_wind_u,kofu_wind_v
2015-08-29,20.03333333333333,20.9,19.2,97.54166666666667,1012.9041666666667,2.5,0.0,19.616977409874835,332.79139868375466,59.57267125048065,1.0685658955822464,-1.975405712026567,23.195833333333336,24.8,22.1,80.41666666666667,1011.4833333333332,0.0,0.0,19.619523190347252,336.7333767972335,557.8802027876122,0.9560718626420229,0.49206366406514124
2015-08-30,21.208333333333332,22.5,20.3,95.75,1012.5875,3.5,0.0,20.485528668460915,336.51373120229414,109.28201327276929,-0.3314061457313225,-0.8707450181489232,22.979166666666668,25.2,21.1,86.41666666666667,1010.9249999999998,6.0,0.1,20.57022764029091,339.09607493142755,382.94021186047075,0.8406943688805666,0.036126755038364704
2015-08-31,22.099999999999998,23.8,20.6,94.20833333333333,1014.7916666666666,2.5,0.0,21.106132010838166,338.9766397513165,156.47760611752983,-0.6895089064965024,-0.9733961705569948,24.325,27.8,21.8,84.75,1013.3208333333333,10.5,1.2,21.57014656752972,343.2007717135073,466.09681994506764,0.7888182103805775,0.33994584096903485
2015-09-01,23.675,25.9,21.5,96.45833333333333,1014.5416666666666,12.0,0.30000000000000004,23.054959821278317,346.76426225305363,107.16131111684626,-0.5987751878217331,1.2366906932133745,23.429166666666664,25.8,22.2,89.875,1014.0875000000001,18.5,0.30000000000000004,21.650709236762907,342.24176925184827,294.3612137824289,-0.06880207771136129,0.5636989000732586
2015-09-02,26.933333333333334,30.9,24.6,81.5,1010.125,5.5,6.1,23.46813973810822,352.82158292819986,659.7838729031114,1.4128314222162672,4.178103596127223,25.820833333333336,31.5,21.7,78.25,1010.4375,0.5,5.5,21.720232693943842,345.8836227723296,725.0901853877926,1.025395119901646,0.3623219947403827
2015-09-03,25.65416666666667,29.5,23.2,78.08333333333333,1011.4791666666666,1.5,1.5,21.524257244124385,344.94439578854406,723.3845200626965,0.38136665173871837,0.936796077697171,24.379166666666666,28.7,22.1,76.625,1011.4916666666667,2.0,0.9,19.986796092270538,339.1016101549176,714.5131890782727,0.8514709673918072,0.2733953276711382
2015-09-04,24.741666666666664,29.9,22.4,88.25,1007.7000000000002,14.0,6.300000000000001,22.641739360795043,347.81803059539703,369.35033194052266,0.5639150939701999,1.141160570813862,24.995833333333334,30.5,21.2,69.66666666666667,1007.8458333333333,0.5,7.3999999999999995,19.04769157862785,337.8964477584791,960.8724744094911,1.0384432515156592,0.6878956013215841
2015-09-05,25.35833333333333,29.2,23.2,69.5,1010.7416666666668,0.0,2.3,19.35486937734953,338.7062162678013,987.2457870945673,-1.977349687263901,-0.49278671647182737,24.233333333333334,29.7,19.5,65.54166666666667,1010.1791666666667,0.0,8.600000000000001,17.351646726979766,332.599363310419,1042.3383038086304,0.8498731172227038,0.8885762064757969
2015-09-06,23.808333333333334,26.4,22.5,88.29166666666667,1007.7999999999998,46.5,0.0,21.733003086962867,343.8792635083538,347.7531097823994,-0.16275000421375194,0.21501570680198986,21.291666666666668,23.8,19.8,84.5,1007.8666666666668,19.0,0.0,18.557997108582583,332.32453044420663,393.54820721099804,0.32683188613381375,0.47630455038509645
2015-09-07,22.95416666666667,25.3,20.8,97.70833333333333,1006.3541666666666,19.0,0.2,22.5508003010753,345.54981487991984,67.49792490051232,-0.54160527909927,-0.5401568713262055,23.333333333333332,27.9,19.9,82.33333333333333,1005.4541666666668,0.0,1.4,20.132983771777333,339.112300854736,507.84755442909636,0.6924089547377292,0.2656910591153445
